Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public short org.jboss.netty.buffer.DynamicChannelBuffer.getShort(int)",4,21,17,"425.0%",0.009174311926605505,0.009083044982698962,-9.126694390654277e-05,"-0.99%"
"public int org.jboss.netty.buffer.DynamicChannelBuffer.arrayOffset()",15,40,25,"166.67%",0.034403669724770644,0.01730103806228374,-0.017102631662486906,"-49.71%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.readerIndex()",46,48,2,"4.35%",0.10550458715596331,0.020761245674740483,-0.08474334148122283,"-80.32%"
"public byte[] org.jboss.netty.buffer.DynamicChannelBuffer.array()",225,86,-139,"-61.78%",0.5160550458715596,0.037197231833910036,-0.47885781403764954,"-92.79%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.readerIndex(int)",2,20,18,"900.0%",0.0045871559633027525,0.00865051903114187,0.004063363067839117,"88.58%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.indexOf(int|int|org.jboss.netty.buffer.ChannelBufferIndexFinder)",6,72,66,"1100.0%",0.013761467889908258,0.031141868512110725,0.017380400622202467,"126.3%"
"public int org.jboss.netty.buffer.AbstractChannelBuffer.indexOf(int|int|byte)",2,65,63,"3150.0%",0.0045871559633027525,0.028114186851211073,0.02352703088790832,"512.89%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.writeZero(int)",6,35,29,"483.33%",0.013761467889908258,0.01513840830449827,0.0013769404145900117,"10.01%"
"public static final int org.jboss.netty.channel.Channel.OP_WRITE",1,1,0,"0.0%",0.0022935779816513763,0.00043252595155709344,-0.0018610520300942827,"-81.14%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.setChar(int|int)",5,59,54,"1080.0%",0.011467889908256881,0.02551903114186851,0.01405114123361163,"122.53%"
"public boolean org.jboss.netty.buffer.AbstractChannelBuffer.getBoolean(int)",51,56,5,"9.8%",0.11697247706422019,0.02422145328719723,-0.09275102377702296,"-79.29%"
"public org.jboss.netty.buffer.ChannelBuffer org.jboss.netty.buffer.AbstractChannelBuffer.copy()",2,76,74,"3700.0%",0.0045871559633027525,0.0328719723183391,0.028284816355036345,"616.61%"
