Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoDistanceFilter1() throws java.io.IOException",124,113,-11,"-8.87%",0.004579870729455217,0.004203399918163896,-0.0003764708112913217,"-8.22%"
"public static java.lang.String org.elasticsearch.test.ElasticsearchTestCase.randomRealisticUnicodeOfCodepointLengthBetween(int|int)",109,103,-6,"-5.5%",0.004025854108956602,0.0038314176245210726,-0.00019443648443552954,"-4.83%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoDistanceFilter8() throws java.io.IOException",113,100,-13,"-11.5%",0.0041735918744228995,0.003719822936428226,-0.0004537689379946735,"-10.87%"
"org.junit.Assert[0]",1,0,-1,"-INF%",3.6934441366574334e-05,0.0,-3.6934441366574334e-05,"-INF%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testQueryFilter() throws java.lang.Exception",113,116,3,"2.65%",0.0041735918744228995,0.004314994606256742,0.00014140273183384233,"3.39%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoDistanceFilter5() throws java.io.IOException",101,107,6,"5.94%",0.0037303785780240075,0.0039802105419782016,0.0002498319639541941,"6.7%"
"public final void org.elasticsearch.test.ElasticsearchTestCase.resetCheckIndexStatus() throws java.lang.Exception",18690,17611,-1079,"-5.77%",0.6903047091412743,0.6550980173343749,-0.03520669180689939,"-5.1%"
"java.lang.String[][2]",1,0,-1,"-INF%",3.6934441366574334e-05,0.0,-3.6934441366574334e-05,"-INF%"
"randoop.operation.ArrayElementSet@6f5c4ebd",4,0,-4,"-INF%",0.00014773776546629733,0.0,-0.00014773776546629733,"-INF%"
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[][][5]",3,0,-3,"-INF%",0.00011080332409972299,0.0,-0.00011080332409972299,"-INF%"
"java.util.Locale[][1]",7,0,-7,"-INF%",0.00025854108956602033,0.0,-0.00025854108956602033,"-INF%"
"java.lang.String[][6]",1,0,-1,"-INF%",3.6934441366574334e-05,0.0,-3.6934441366574334e-05,"-INF%"
"public static final boolean org.apache.lucene.util.LuceneTestCase.TEST_NIGHTLY",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
