Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newDirectory(java.util.Random)",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public static java.nio.file.Path org.apache.lucene.util.LuceneTestCase.createTempFile(java.lang.String|java.lang.String) throws java.io.IOException",142,143,1,"0.7%",0.006311111111111111,0.006781107738998483,0.00046999662788737174,"7.45%"
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newDirectory(java.util.Random|org.apache.lucene.store.LockFactory)",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newDirectory(java.util.Random|org.apache.lucene.store.Directory) throws java.io.IOException",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newDirectory()",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newDirectory(org.apache.lucene.store.Directory) throws java.io.IOException",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public static java.nio.file.Path org.apache.lucene.util.LuceneTestCase.createTempFile() throws java.io.IOException",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public void org.elasticsearch.index.analysis.KuromojiAnalysisTests.testJapaneseStopFilterFactory() throws java.io.IOException",283,258,-25,"-8.83%",0.012577777777777778,0.012234446130500759,-0.000343331647277019,"-2.73%"
"byte[0]",95,4630,4535,"4773.68%",0.004222222222222222,0.21955614567526555,0.21533392345304334,"5100.01%"
"byte[1]",4636,11,-4625,"-99.76%",0.20604444444444445,0.0005216236722306525,-0.2055228207722138,"-99.75%"
"java.lang.String[4]",896,245,-651,"-72.66%",0.039822222222222224,0.011617981790591805,-0.028204240431630417,"-70.83%"
"byte[2]",28,19,-9,"-32.14%",0.0012444444444444445,0.0009009863429438543,-0.0003434581015005902,"-27.6%"
"java.lang.String[5]",93,43,-50,"-53.76%",0.0041333333333333335,0.0020390743550834597,-0.002094258978249874,"-50.67%"
"byte[3]",11,23,12,"109.09%",0.0004888888888888889,0.0010906676783004553,0.0006017787894115665,"123.09%"
"java.lang.String[6]",24,35,11,"45.83%",0.0010666666666666667,0.0016597116843702579,0.0005930450177035911,"55.6%"
"randoop.operation.UncheckedCast@1470088b",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"byte[4]",10,8,-2,"-20.0%",0.00044444444444444447,0.00037936267071320183,-6.508177373124263e-05,"-14.64%"
"byte[5]",32,33,1,"3.12%",0.0014222222222222223,0.0015648710166919575,0.00014264879446973522,"10.03%"
"java.lang.String[0]",31,143,112,"361.29%",0.0013777777777777777,0.006781107738998483,0.005403329961220706,"392.18%"
"byte[6]",30,23,-7,"-23.33%",0.0013333333333333333,0.0010906676783004553,-0.00024266565503287796,"-18.2%"
"java.lang.String[1]",1,57,56,"5600.0%",4.4444444444444447e-05,0.002702959028831563,0.0026585145843871184,"5981.66%"
