Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class org.apache.lucene.util.LuceneTestCase$1,79,68,-11,"-13.92%",1,1,0,"0.0%",0.0032354507105705043,0.0030232971723279387,-0.00021215353824256562,"-6.56%",4.095507228570259e-05,4.4460252534234394e-05,3.5051802485318065e-06,"8.56%"
class [I,5291,5315,24,"0.45%",45,18,-27,"-60.0%",0.21669328746365238,0.23630624221945581,0.019612954755803436,"9.05%",0.0018429782528566164,0.0008002845456162192,-0.0010426937072403972,"-56.58%"
class java.lang.Class,994,471,-523,"-52.62%",24,24,0,"0.0%",0.04070934185198837,0.0209407789436244,-0.01976856290836397,"-48.56%",0.000982921734856862,0.0010670460608216254,8.41243259647633e-05,"8.56%"
class [[Ljava.lang.reflect.Type;,18,9,-9,"-50.0%",3,2,-1,"-33.33%",0.0007371913011426465,0.0004001422728081096,-0.00033704902833453694,"-45.72%",0.00012286521685710776,8.892050506846879e-05,-3.3944711788638974e-05,"-27.63%"
class java.util.Locale,17183,90,-17093,"-99.48%",26,16,-10,"-38.46%",0.7037310070852275,0.0040014227280810956,-0.6997295843571464,"-99.43%",0.0010648318794282672,0.0007113640405477503,-0.0003534678388805169,"-33.19%"
class java.util.ArrayList$SubList,3026,860,-2166,"-71.58%",393,234,-159,"-40.46%",0.12393004873653601,0.03823581717944158,-0.08569423155709444,"-69.15%",0.016095343408281115,0.010403699093010848,-0.005691644315270267,"-35.36%"
class [[[[I,342,41,-301,"-88.01%",3,4,1,"33.33%",0.014006634721710284,0.00182287035390361,-0.012183764367806674,"-86.99%",0.00012286521685710776,0.00017784101013693757,5.497579327982981e-05,"44.74%"
class [Ljava.util.Locale;,3867,28,-3839,"-99.28%",7,8,1,"14.29%",0.1583732645288119,0.001244887070958563,-0.15712837745785332,"-99.21%",0.0002866855059999181,0.00035568202027387515,6.899651427395707e-05,"24.07%"
class [[[[Ljava.lang.reflect.GenericDeclaration;,0,1,1,"INF%",0,1,1,"INF%",0.0,4.4460252534234394e-05,4.4460252534234394e-05,"INF%",0.0,4.4460252534234394e-05,4.4460252534234394e-05,"INF%"
class [[[[[B,0,3,3,"INF%",0,1,1,"INF%",0.0,0.00013338075760270317,0.00013338075760270317,"INF%",0.0,4.4460252534234394e-05,4.4460252534234394e-05,"INF%"
class [[[[[Ljava.lang.Iterable;,0,2,2,"INF%",0,1,1,"INF%",0.0,8.892050506846879e-05,8.892050506846879e-05,"INF%",0.0,4.4460252534234394e-05,4.4460252534234394e-05,"INF%"
class [[[[[S,0,3,3,"INF%",0,3,3,"INF%",0.0,0.00013338075760270317,0.00013338075760270317,"INF%",0.0,0.00013338075760270317,0.00013338075760270317,"INF%"
class [[[[Ljava.util.Set;,0,26,26,"INF%",0,2,2,"INF%",0.0,0.0011559665658900944,0.0011559665658900944,"INF%",0.0,8.892050506846879e-05,8.892050506846879e-05,"INF%"
class com.carrotsearch.randomizedtesting.rules.TestRuleAdapter$1,0,4368,4368,"INF%",0,1183,1183,"INF%",0.0,0.19420238306953583,0.19420238306953583,"INF%",0.0,0.05259647874799929,0.05259647874799929,"INF%"
class [[[[[Ljava.util.Set;,0,4,4,"INF%",0,1,1,"INF%",0.0,0.00017784101013693757,0.00017784101013693757,"INF%",0.0,4.4460252534234394e-05,4.4460252534234394e-05,"INF%"
class [[Lorg.junit.runners.model.Statement;,0,1,1,"INF%",0,1,1,"INF%",0.0,4.4460252534234394e-05,4.4460252534234394e-05,"INF%",0.0,4.4460252534234394e-05,4.4460252534234394e-05,"INF%"
class [[[[Lorg.elasticsearch.test.ESTestCase;,0,3,3,"INF%",0,3,3,"INF%",0.0,0.00013338075760270317,0.00013338075760270317,"INF%",0.0,0.00013338075760270317,0.00013338075760270317,"INF%"
class [Lorg.junit.runners.model.Statement;,0,10,10,"INF%",0,5,5,"INF%",0.0,0.00044460252534234395,0.00044460252534234395,"INF%",0.0,0.00022230126267117198,0.00022230126267117198,"INF%"
