Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public retrofit.converter.GsonConverter retrofit.SerializedObjectSupporter.deserializeObjectConverter5() throws java.io.IOException",5,20,15,"300.0%",0.014326647564469915,0.01662510390689942,0.002298456342429504,"16.04%"
"public retrofit.converter.GsonConverter retrofit.SerializedObjectSupporter.deserializeObjectConverter3() throws java.io.IOException",4,11,7,"175.0%",0.011461318051575931,0.00914380714879468,-0.002317510902781251,"-20.22%"
"public retrofit.converter.GsonConverter retrofit.SerializedObjectSupporter.deserializeObjectConverter1() throws java.io.IOException",123,17,-106,"-86.18%",0.3524355300859599,0.014131338320864505,-0.3383041917650954,"-95.99%"
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setClient(retrofit.client.Client$Provider)",14,114,100,"714.29%",0.04011461318051576,0.09476309226932668,0.05464847908881092,"136.23%"
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setClient(retrofit.client.Client)",9,25,16,"177.78%",0.025787965616045846,0.020781379883624274,-0.005006585732421572,"-19.41%"
"public final retrofit.RestAdapter$Log retrofit.RestAdapter.log",1,124,123,"12300.0%",0.0028653295128939827,0.10307564422277639,0.10021031470988241,"3497.34%"
"public retrofit.converter.Converter retrofit.RestAdapter$Builder.converter",111,23,-88,"-79.28%",0.31805157593123207,0.019118869492934332,-0.2989327064382977,"-93.99%"
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectComparator1() throws java.io.IOException",4,10,6,"150.0%",0.011461318051575931,0.00831255195344971,-0.0031487660981262214,"-27.47%"
"public java.util.concurrent.Executor retrofit.RestAdapter.getcallbackExecutor()",1,43,42,"4200.0%",0.0028653295128939827,0.03574397339983375,0.032878643886939764,"1147.46%"
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setConverter(retrofit.converter.Converter)",14,428,414,"2957.14%",0.04011461318051576,0.3557772236076476,0.31566261042713184,"786.9%"
"public java.util.concurrent.Executor retrofit.RestAdapter$Builder.callbackExecutor",29,27,-2,"-6.9%",0.0830945558739255,0.022443890274314215,-0.060650665599611284,"-72.99%"
"public retrofit.RestAdapter retrofit.RestAdapter$Builder.build()",15,23,8,"53.33%",0.04297994269340974,0.019118869492934332,-0.023861073200475407,"-55.52%"
"retrofit.client.Request(java.lang.String| java.lang.String| java.util.List| retrofit.mime.TypedOutput)",68,688,620,"911.76%",0.19484240687679083,0.57190357439734,0.37706116752054913,"193.52%"
"public static final retrofit.RestAdapter$Log retrofit.RestAdapter$Log.NONE",100,749,649,"649.0%",0.28653295128939826,0.6226101413133832,0.33607719002398495,"117.29%"
"public java.util.List retrofit.client.Request.getHeaders()",85,172,87,"102.35%",0.24355300859598855,0.142975893599335,-0.10057711499665356,"-41.3%"
"retrofit.Server(java.lang.String| java.lang.String)",0,851,851,"INF%",0.0,0.7073981712385703,0.7073981712385703,"INF%"
"retrofit.Server(java.lang.String)",0,108,108,"INF%",0.0,0.08977556109725686,0.08977556109725686,"INF%"
"public retrofit.Server retrofit.RestAdapter.getserver()",0,71,71,"INF%",0.0,0.05901911886949293,0.05901911886949293,"INF%"
"public final java.lang.String retrofit.Server.apiUrl",0,18,18,"INF%",0.0,0.014962593516209476,0.014962593516209476,"INF%"
"public final retrofit.converter.Converter retrofit.RestAdapter.converter",0,113,113,"INF%",0.0,0.09393183707398171,0.09393183707398171,"INF%"
"java.lang.Object[1]",0,1,1,"INF%",0.0,0.0008312551953449709,0.0008312551953449709,"INF%"
"java.lang.Object[2]",0,1,1,"INF%",0.0,0.0008312551953449709,0.0008312551953449709,"INF%"
"public retrofit.ErrorHandler retrofit.RestAdapter.geterrorHandler()",0,51,51,"INF%",0.0,0.04239401496259352,0.04239401496259352,"INF%"
"public final retrofit.Profiler retrofit.RestAdapter.profiler",0,85,85,"INF%",0.0,0.07065669160432253,0.07065669160432253,"INF%"
"public java.lang.String retrofit.Server.getapiUrl()",0,20,20,"INF%",0.0,0.01662510390689942,0.01662510390689942,"INF%"
"public final java.util.concurrent.Executor retrofit.RestAdapter.httpExecutor",0,108,108,"INF%",0.0,0.08977556109725686,0.08977556109725686,"INF%"
"public retrofit.client.Request retrofit.RestAdapter.logAndReplaceRequest(retrofit.client.Request) throws java.io.IOException",0,57,57,"INF%",0.0,0.04738154613466334,0.04738154613466334,"INF%"
"public retrofit.SerializedObjectSupporter retrofit.RestAdapter.serializedObjectSupporter",0,17,17,"INF%",0.0,0.014131338320864505,0.014131338320864505,"INF%"
"public java.lang.String retrofit.Server.getDEFAULT_NAME()",0,20,20,"INF%",0.0,0.01662510390689942,0.01662510390689942,"INF%"
"public void retrofit.RestAdapter.setLogLevel(retrofit.RestAdapter$LogLevel)",0,60,60,"INF%",0.0,0.04987531172069826,0.04987531172069826,"INF%"
"public java.lang.String retrofit.Server.getName()",0,24,24,"INF%",0.0,0.0199501246882793,0.0199501246882793,"INF%"
"public retrofit.RequestInterceptor retrofit.RestAdapter.getrequestInterceptor()",0,147,147,"INF%",0.0,0.12219451371571072,0.12219451371571072,"INF%"
"public java.lang.String retrofit.RestAdapter.getIDLE_THREAD_NAME()",0,162,162,"INF%",0.0,0.13466334164588528,0.13466334164588528,"INF%"
"public retrofit.Profiler retrofit.RestAdapter.getprofiler()",0,36,36,"INF%",0.0,0.029925187032418952,0.029925187032418952,"INF%"
"public java.lang.String retrofit.Server.getUrl()",0,25,25,"INF%",0.0,0.020781379883624274,0.020781379883624274,"INF%"
"public retrofit.converter.Converter retrofit.RestAdapter.getconverter()",0,46,46,"INF%",0.0,0.038237738985868665,0.038237738985868665,"INF%"
"public retrofit.SerializedObjectSupporter retrofit.RestAdapter$RestHandler.serializedObjectSupporter",0,4,4,"INF%",0.0,0.0033250207813798837,0.0033250207813798837,"INF%"
"public final retrofit.ErrorHandler retrofit.RestAdapter.errorHandler",0,133,133,"INF%",0.0,0.11055694098088113,0.11055694098088113,"INF%"
"public retrofit.client.Response retrofit.RestAdapter.logAndReplaceResponse(java.lang.String|retrofit.client.Response|long) throws java.io.IOException",0,36,36,"INF%",0.0,0.029925187032418952,0.029925187032418952,"INF%"
"public final java.lang.String retrofit.Server.name",0,21,21,"INF%",0.0,0.017456359102244388,0.017456359102244388,"INF%"
"public java.lang.Object retrofit.RestAdapter$RestHandler.invoke(java.lang.Object|java.lang.reflect.Method|java.lang.Object[]) throws java.lang.Throwable",0,2,2,"INF%",0.0,0.0016625103906899418,0.0016625103906899418,"INF%"
"public volatile retrofit.RestAdapter$LogLevel retrofit.RestAdapter.logLevel",0,130,130,"INF%",0.0,0.10806317539484622,0.10806317539484622,"INF%"
"public final retrofit.RequestInterceptor retrofit.RestAdapter.requestInterceptor",0,54,54,"INF%",0.0,0.04488778054862843,0.04488778054862843,"INF%"
"public final retrofit.Server retrofit.RestAdapter.server",0,155,155,"INF%",0.0,0.1288445552784705,0.1288445552784705,"INF%"
"public java.lang.String retrofit.RestAdapter.getTHREAD_PREFIX()",0,93,93,"INF%",0.0,0.0773067331670823,0.0773067331670823,"INF%"
"public final retrofit.client.Client$Provider retrofit.RestAdapter.clientProvider",0,55,55,"INF%",0.0,0.0457190357439734,0.0457190357439734,"INF%"
"public static final java.lang.String retrofit.Server.DEFAULT_NAME",0,1,1,"INF%",0.0,0.0008312551953449709,0.0008312551953449709,"INF%"
